ID	ESA2008	ESA2009	ESA2010	ESA2011	ESA2012	ESA2013	ESA2014	ESA2015	ESA2016	ESA2017	ESA2018	ESACount	EuroGamer	GamesRadar	Guardien	IGN	MetaCritic	Polygon	TIME	CriticCount	TotalCitationsCount	DigitalGame	Year	YearInterval	Series	Mode	SpatialDimensionality	Platformscount	Protagonist	MainPC	PCTYPE	CharacterPrespective	Narrative	DigitalGameMainGenre	DigitalGameSecondaryGenre	DigitalGameThirdGenre	DigitalGameGenreOTHER	P2_B_MentalHelthRelatedContent	P2_C1_playersOpinionNegativeOpinion	P2_C2_playersOpinionNeutralOpinion	P2_C3_playersOpinionPositiveOpinion	P2_D1_scientificEvidenceNegative	P2_D2_scientificEvidenceNeutral	P2_D3_scientificEvidencePositive	P1_MentalHelthRelatedContent	P1_A1_neuroDevelopmentalDisorders	P1_A2_schizophreniaSpectrumAndOtherPsychoticDisorders	P1_A3_bipolarDisorderAndOtherRelatedDisorders	P1_A4_depressiveDisorders	P1_A5_anxietyDisorders	P1_A6_obsessiveCompulsiveDisordersAndRelatedDisorders	P1_A7_postTraumati	P1_A8_postTraumaticStressAndOtherStressRelatedDisorders	P1_A9_somaticSymptomsDisordersAndOtherRelatedDisorders	P1_A10_eatingDisorders	P1_A11_eliminationDisorders	P1_A12_sleepWakeDisorders	P1_A13_sexualDisorders	P1_A14_genderDysphoria	P1_A15_disruptiveImpulseControlAndConductDisorders	P1_A16_substanceRelatedAndAddictiveDisorders	P1_A17_neurocognitiveDisorders	P1_A18_personalityDisorders	P1_A19_paraphilicDisorders	P1_A20_otherMentalDisorders	P1_COUNTDisorders
393	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	"KentuckyRouteZero"	2020	"2000-2004"	"KentuckyRouteZero"	"0"	"3"	6	"Conway"	"Conway"	3	3	1	"Adventure"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	"OuterWilds"	2019	"2015-2019"	"0"	"1"	"3"	3	"OuterWildsTheProtagonist"	"OuterWildsTheProtagonist"	3	1	1	"ActionAdventure"	" "	" "	" "	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	"ReSidentEvil2(Remake)"	2019	"2015-2019"	"ResidentEvil"	"1"	"3"	3	"LeonS.Kennedy"	"LeonS.Kennedy"	3	3	1	"Survival"	"Horror"	" "	" "	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	5
392	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	"SlaytheSpire"	2019	"2015-2019"	"0"	"1"	"3"	8	"0"	"TheIronclad"	0	4	0	"Strategy"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	"Assassin’sCreed:Odyssey"	2018	"2015-2019"	"Assasin'sCreed"	"1"	"3"	3	"KassandraorAlexios"	"KassandraorAlexios"	3	3	1	"Action"	"RPG"	" "	" "	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
377	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	"BattlefieldV"	2018	"2015-2019"	"Battlefield"	"3"	"3"	3	"PeterMüller"	"Multiple"	3	1	1	"FirstPersonShooter"	"BattleRoyale"	" "	" "	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
378	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	"CallofDuty:BlackOpsIIII"	2018	"2015-2019"	"CallofDuty"	"3"	"3"	3	"Specialists"	"Specialists"	2	1	1	"FirstPersonShooter"	"BattleRoyale"	" "	" "	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5
379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	"Celeste"	2018	"2015-2019"	"0"	"1"	"2"	7	"Madeline"	"Madeline"	3	3	1	"Platform"	" "	" "	" "	1	0	1	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
380	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	"FarCry5"	2018	"2015-2019"	"FARCRY"	"3"	"3"	4	"TheJuniorDeputy"	"Customizable"	1	1	1	"FirstPersonShooter"	" "	" "	" "	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	10
381	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	"FIFA19"	2018	"2015-2019"	"FIFA"	"3"	"3"	6	"AlexHunter"	"Multiple"	5	2	1	"Sports"	" "	" "	" "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
